FileName,Marker,Region,Category,Frequency,Fas3
20230801pavRFPvsgGFPpnut002,Peanut,TwoB,pav+/vsg+ rings,4,no
20230801pavRFPvsgGFPpnut002,Peanut,Three,pav+/vsg+ rings,1,no
20230801pavRFPvsgGFPpnut004,Peanut,TwoB,pav+/vsg+ rings,1,no
20230801pavRFPvsgGFPpnut004,Peanut,Three,pav+/vsg+ rings,0,no
20230517vsgpav_pnut,Peanut,TwoB,pav+/vsg+ rings,9,no
20230517vsgpav_pnut,Peanut,Three,pav+/vsg+ rings,5,no
20230801pavRFPvsgGFPpnut003,Peanut,TwoB,pav+/vsg+ rings,1,no
20230801pavRFPvsgGFPpnut003,Peanut,Three,pav+/vsg+ rings,2,no
7_14_2022_Replicate1_steps2,FasIII,TwoB,pav+/vsg+ rings,7,yes
7_14_2022_Replicate1_steps2,FasIII,Three,pav+/vsg+ rings,5,yes
7_14_2022_Replicate1_steps5,FasIII,TwoB,pav+/vsg+ rings,5,yes
7_14_2022_Replicate1_steps5,FasIII,Three,pav+/vsg+ rings,4,yes
7_14_2022_Replicate1_steps6,FasIII,TwoB,pav+/vsg+ rings,13,yes
7_14_2022_Replicate1_steps6,FasIII,Three,pav+/vsg+ rings,4,yes
7_14_2022_Replicate1_steps7,FasIII,TwoB,pav+/vsg+ rings,4,yes
7_14_2022_Replicate1_steps7,FasIII,Three,pav+/vsg+ rings,0,yes