Repeat,Date,Genotype,Germaria,Phenotype,,
1,4/28/23,Control,1,No,,data saved as 1400 x 700
1,4/28/23,Control,2,No,,
1,4/28/23,Control,3,No,,
1,4/28/23,Control,4,Yes,,
1,4/28/23,Control,5,Yes,,
1,4/28/23,Control,6,No,,
1,4/28/23,Control,7,No,,
1,4/28/23,Control,8,No,,
1,4/28/23,Control,9,No,,
1,4/28/23,Control,10,No,,
1,4/28/23,Control,11,No,,
1,4/28/23,Control,12,No,,
1,4/28/23,Control,13,No,,
1,4/28/23,Control,14,No,,
1,4/28/23,Control,15,No,,
1,4/28/23,Control,16,Yes,,
1,4/28/23,Control,17,No,,
1,4/28/23,Control,18,No,,
1,4/28/23,Shrb(RNAi),1,Yes,,
1,4/28/23,Shrb(RNAi),2,Yes,,
1,4/28/23,Shrb(RNAi),3,Yes,,
1,4/28/23,Shrb(RNAi),4,Yes,,
1,4/28/23,Shrb(RNAi),5,Yes,,
1,4/28/23,Shrb(RNAi),6,Yes,,
1,4/28/23,Shrb(RNAi),7,Yes,,
1,4/28/23,Shrb(RNAi),8,Yes,,
1,4/28/23,Shrb(RNAi),9,Yes,,
1,4/28/23,Shrb(RNAi),10,Yes,,
1,4/28/23,Shrb(RNAi),11,Yes,,
1,4/28/23,Shrb(RNAi),12,Yes,,
1,4/28/23,Shrb(RNAi),13,Yes,,
1,4/28/23,Shrb(RNAi),14,Yes,,
1,4/28/23,Shrb(RNAi),15,Yes,,
1,4/28/23,Shrb(RNAi),16,Yes,,
1,4/28/23,Shrb(RNAi),17,Yes,,
1,4/28/23,Shrb(RNAi),18,Yes,,
1,4/28/23,Shrb(RNAi),19,Yes,,
1,4/28/23,Shrb(RNAi),20,Yes,,
1,4/28/23,Shrb(RNAi),21,Yes,,
1,4/28/23,Shrb(RNAi),22,No,,
1,4/28/23,Shrb(RNAi),23,Yes,,
1,4/28/23,Shrb(RNAi),24,Yes,,
1,4/28/23,Shrb(RNAi),25,Yes,,
1,4/28/23,Shrb(RNAi),26,Yes,,
1,4/28/23,Shrb(RNAi),27,Yes,,
1,4/28/23,Shrb(RNAi),28,Yes,,
1,4/28/23,Shrb(RNAi),29,Yes,,
1,4/28/23,Shrb(RNAi),30,No,,
1,4/28/23,Shrb(RNAi),31,Yes,,
1,4/28/23,Shrb(RNAi),32,Yes,,
1,4/28/23,Shrb(RNAi),33,Yes,,
1,4/28/23,Shrb(RNAi),34,Yes,,