Repeat,Date,Genotype,Germaria,Phenotype,Notes,Processing 
1,4/3/23,Shrb_RNAi,1,No,epithelium looks normal?,
1,4/3/23,Shrb_RNAi,2,Yes,,
1,4/3/23,Shrb_RNAi,3,Yes,"vasa staining not great, dull signal",
1,4/3/23,Shrb_RNAi,4,Yes,,
1,4/3/23,Shrb_RNAi,5,Yes,germarium for the most part looks ok but downstream egg chambers have more follicle cells present,
1,4/3/23,Shrb_RNAi,6,Yes,,
1,4/3/23,Shrb_RNAi,7,Yes,,
1,4/3/23,Shrb_RNAi,8,Yes,,
1,4/3/23,Shrb_RNAi,9,Yes,,
1,4/3/23,Shrb_RNAi,10,Yes,,
1,4/3/23,Shrb_RNAi,11,Yes,,
1,4/3/23,Control,1,No,,
1,4/3/23,Control,2,No,,
1,4/3/23,Control,3,No,,
1,4/3/23,Control,4,No,,
1,4/3/23,Control,5,Yes,"some more follicle cells present posterior of the germaria, stalk like cells present but more follicel cells surrounding egg chambers",
1,4/3/23,Control,6,No,,
1,4/3/23,Control,7,Yes,,
1,4/3/23,Control,8,No,,
1,4/3/23,Control,9,No,,
1,4/3/23,Control,10,No,,
1,4/3/23,Control,11,No,,
2,4/28/23,Control,1,No,,
2,4/28/23,Control,2,No,,
2,4/28/23,Control,3,No,,
2,4/28/23,Control,4,Yes,some larger egg chambers adjacent to germarium,
2,4/28/23,Control,5,Yes,,
2,4/28/23,Control,6,No,,
2,4/28/23,Control,7,No,,
2,4/28/23,Control,8,No,,
2,4/28/23,Control,9,No,,
2,4/28/23,Control,10,No,,
2,4/28/23,Control,11,No,,data saved as 1700x850
2,4/28/23,Control,12,No,,
2,4/28/23,Control,13,No,,
2,4/28/23,Control,14,No,,
2,4/28/23,Control,15,No,,
2,4/28/23,Control,16,Yes,,
2,4/28/23,Control,17,No,,
2,4/28/23,Control,18,No,,
2,4/28/23,Shrb_RNAi,1,Yes,,
2,4/28/23,Shrb_RNAi,2,Yes,overexpansion of follicle cell population ,
2,4/28/23,Shrb_RNAi,3,Yes,,
2,4/28/23,Shrb_RNAi,4,Yes,,
2,4/28/23,Shrb_RNAi,5,Yes,Tube-like phenotype ,
2,4/28/23,Shrb_RNAi,6,Yes,,
2,4/28/23,Shrb_RNAi,7,Yes,,
2,4/28/23,Shrb_RNAi,8,Yes,,
2,4/28/23,Shrb_RNAi,9,Yes,,
2,4/28/23,Shrb_RNAi,10,Yes,Some samples have what looks like stalk cell elongation ,
2,4/28/23,Shrb_RNAi,11,Yes,,
2,4/28/23,Shrb_RNAi,12,Yes,,
2,4/28/23,Shrb_RNAi,13,Yes,,
2,4/28/23,Shrb_RNAi,14,Yes,,
2,4/28/23,Shrb_RNAi,15,Yes,,
2,4/28/23,Shrb_RNAi,16,Yes,,
2,4/28/23,Shrb_RNAi,17,Yes,,
2,4/28/23,Shrb_RNAi,18,Yes,,
2,4/28/23,Shrb_RNAi,19,Yes,"staining of vasa and fas3 a bit grainy, lots of signal to noise ",
2,4/28/23,Shrb_RNAi,20,Yes,,
2,4/28/23,Shrb_RNAi,21,Yes,,
2,4/28/23,Shrb_RNAi,22,No,,
2,4/28/23,Shrb_RNAi,23,Yes,,
2,4/28/23,Shrb_RNAi,24,Yes,,
2,4/28/23,Shrb_RNAi,25,Yes,,
2,4/28/23,Shrb_RNAi,26,Yes,,
2,4/28/23,Shrb_RNAi,27,Yes,,
2,4/28/23,Shrb_RNAi,28,Yes,,
2,4/28/23,Shrb_RNAi,29,Yes,,
2,4/28/23,Shrb_RNAi,30,No,,
2,4/28/23,Shrb_RNAi,31,Yes,,
2,4/28/23,Shrb_RNAi,32,Yes,,
2,4/28/23,Shrb_RNAi,33,Yes,,
2,4/28/23,Shrb_RNAi,34,Yes,,
3,6/30/23,Control,1,No,,
3,6/30/23,Control,2,No,,
3,6/30/23,Control,3,No,,
3,6/30/23,Control,4,Yes,,
3,6/30/23,Control,5,Yes,,
3,6/30/23,Control,6,No,,
3,6/30/23,Control,7,No,,
3,6/30/23,Control,8,Yes,more follicle cells posterior of the germarium,
3,6/30/23,Control,9,No,,
3,6/30/23,Control,10,No,,
3,6/30/23,Control,11,No,,
3,6/30/23,Control,12,No,,
3,6/30/23,Control,13,No,,
3,6/30/23,Control,14,No,,
3,6/30/23,Control,15,No,,
3,6/30/23,Control,16,No,,
3,6/30/23,Control,17,No,,
3,6/30/23,Control,18,No,,
3,6/30/23,Control,19,No,,
3,6/30/23,Control,20,No,,
3,6/30/23,Control,21,No,,
3,6/30/23,Shrb_RNAi,1,Yes,,
3,6/30/23,Shrb_RNAi,2,Yes,,
3,6/30/23,Shrb_RNAi,3,Yes,,
3,6/30/23,Shrb_RNAi,4,Yes,,
3,6/30/23,Shrb_RNAi,5,Yes,,
3,6/30/23,Shrb_RNAi,6,Yes,,
3,6/30/23,Shrb_RNAi,7,Yes,,
3,6/30/23,Shrb_RNAi,8,Yes,,
3,6/30/23,Shrb_RNAi,9,Yes,,
3,6/30/23,Shrb_RNAi,10,Yes,"staining is not the best, very grainy",
3,6/30/23,Shrb_RNAi,11,Yes,,
3,6/30/23,Shrb_RNAi,12,Yes,,
3,6/30/23,Shrb_RNAi,13,Yes,Vasa staining is not great,
3,6/30/23,Shrb_RNAi,14,Yes,,
3,6/30/23,Shrb_RNAi,15,Yes,,
3,6/30/23,Shrb_RNAi,16,Yes,,
3,6/30/23,Shrb_RNAi,17,Yes,,
3,6/30/23,Shrb_RNAi,18,Yes,"seems to have a ""hole"" near where stalk cells would be",
3,6/30/23,Shrb_RNAi,19,Yes,,
3,6/30/23,Shrb_RNAi,20,Yes,,
3,6/30/23,Shrb_RNAi,21,Yes,,
3,6/30/23,Shrb_RNAi,22,Yes,,
3,6/30/23,Shrb_RNAi,23,Yes,,
3,6/30/23,Shrb_RNAi,24,Yes,,
3,6/30/23,Shrb_RNAi,25,No,,
3,6/30/23,Shrb_RNAi,26,Yes,,
3,6/30/23,Shrb_RNAi,27,Yes,,
3,6/30/23,Shrb_RNAi,28,No,,
3,6/30/23,Shrb_RNAi,29,Yes,,
3,6/30/23,Shrb_RNAi,30,Yes,,
3,6/30/23,Shrb_RNAi,31,Yes,,
3,6/30/23,Shrb_RNAi,32,Yes,"stalk like cells present, more follicle cells accumulated, ook like the epithelium almost folds in",
3,6/30/23,Shrb_RNAi,33,Yes,,
3,6/30/23,Shrb_RNAi,34,Yes,,
3,6/30/23,Shrb_RNAi,35,Yes,,
3,6/30/23,Shrb_RNAi,36,Yes,,
3,6/30/23,Shrb_RNAi,37,Yes,,
3,6/30/23,Shrb_RNAi,38,Yes,,
3,6/30/23,Shrb_RNAi,39,Yes,,
3,6/30/23,Shrb_RNAi,40,Yes,,
3,6/30/23,Shrb_RNAi,41,Yes,,
3,6/30/23,Shrb_RNAi,42,Yes,,
3,6/30/23,Shrb_RNAi,43,Yes,,
3,6/30/23,Shrb_RNAi,44,Yes,,
3,6/30/23,Shrb_RNAi,45,Yes,,
4,11/22/23,Control,1,No,,
4,11/22/23,Control,2,Yes,,
4,11/22/23,Control,3,Yes,,
4,11/22/23,Control,4,Yes,,
4,11/22/23,Control,5,Yes,,
4,11/22/23,Control,6,Yes,,
4,11/22/23,Control,7,Yes,,
4,11/22/23,Control,8,Yes,,
4,11/22/23,Control,9,Yes,,
4,11/22/23,Control,10,Yes,,
4,11/22/23,Control,11,Yes,,
4,11/22/23,Control,12,Yes,,
4,11/22/23,Shrb_RNAi,1,Yes,,
4,11/22/23,Shrb_RNAi,2,Yes,,
4,11/22/23,Shrb_RNAi,3,Yes,,
4,11/22/23,Shrb_RNAi,4,Yes,,
4,11/22/23,Shrb_RNAi,5,Yes,,
4,11/22/23,Shrb_RNAi,6,Yes,,
4,11/22/23,Shrb_RNAi,7,Yes,,
4,11/22/23,Shrb_RNAi,8,Yes,,
4,11/22/23,Shrb_RNAi,9,Yes,,
5,3/20/24,Control,1,Yes,,
5,3/20/24,Control,2,Yes,,
5,3/20/24,Control,3,Yes,,
5,3/20/24,Control,4,No,,
5,3/20/24,Control,5,No,,
5,3/20/24,Control,6,No,,
5,3/20/24,Control,7,No,,
5,3/20/24,Control,8,No,,
5,3/20/24,Control,9,No,,
5,3/20/24,Control,10,No,,
5,3/20/24,Control,11,No,,
5,3/20/24,Control,12,No,,
5,3/20/24,Control,13,No,,
5,3/20/24,Control,14,No,,
5,3/20/24,Shrb_RNAi,1,No,,
5,3/20/24,Shrb_RNAi,2,No,,
5,3/20/24,Shrb_RNAi,3,No,,
5,3/20/24,Shrb_RNAi,4,No,,
5,3/20/24,Shrb_RNAi,5,No,,
5,3/20/24,Shrb_RNAi,6,No,,
5,3/20/24,Shrb_RNAi,7,Yes,,
5,3/20/24,Shrb_RNAi,8,Yes,,
5,3/20/24,Shrb_RNAi,9,Yes,,
5,3/20/24,Shrb_RNAi,10,Yes,,
5,3/20/24,Shrb_RNAi,11,Yes,,
5,3/20/24,Shrb_RNAi,12,Yes,,
5,3/20/24,Shrb_RNAi,13,Yes,,
5,3/20/24,Shrb_RNAi,14,Yes,,
5,3/20/24,Shrb_RNAi,15,Yes,,
5,3/20/24,Shrb_RNAi,16,Yes,,
5,3/20/24,Shrb_RNAi,17,Yes,,
5,3/20/24,Shrb_RNAi,18,Yes,,
5,3/20/24,Shrb_RNAi,19,Yes,,
5,3/20/24,Shrb_RNAi,20,Yes,,
5,3/20/24,Shrb_RNAi,21,Yes,,
5,3/20/24,Shrb_RNAi,22,Yes,,
5,3/20/24,Shrb_RNAi,23,Yes,,
5,3/20/24,Shrb_RNAi,24,Yes,,
5,3/20/24,Shrb_RNAi,25,Yes,,
5,3/20/24,Shrb_RNAi,26,Yes,,
6,6/11/24,Control,1,No,,
6,6/11/24,Control,2,No,,
6,6/11/24,Control,3,No,,
6,6/11/24,Control,4,No,,
6,6/11/24,Control,5,No,,
6,6/11/24,Control,6,No,,
6,6/11/24,Control,7,No,,
6,6/11/24,Control,8,No,,
6,6/11/24,Control,9,No,,
6,6/11/24,Control,10,No,,
6,6/11/24,Control,11,No,,
6,6/11/24,Control,12,No,,
6,6/11/24,Control,13,No,,
6,6/11/24,Control,14,No,,
6,6/11/24,Control,15,No,,
6,6/11/24,Control,16,No,,
6,6/11/24,Control,17,No,,
6,6/11/24,Control,18,No,,
6,6/11/24,Shrb_RNAi,1,No,,
6,6/11/24,Shrb_RNAi,2,No,,
6,6/11/24,Shrb_RNAi,3,No,,
6,6/11/24,Shrb_RNAi,4,No,,
6,6/11/24,Shrb_RNAi,5,No,,
6,6/11/24,Shrb_RNAi,6,No,,
6,6/11/24,Shrb_RNAi,7,No,,
6,6/11/24,Shrb_RNAi,8,No,,
6,6/11/24,Shrb_RNAi,9,Yes,,
6,6/11/24,Shrb_RNAi,10,Yes,,
6,6/11/24,Shrb_RNAi,11,Yes,,
6,6/11/24,Shrb_RNAi,12,Yes,,
6,6/11/24,Shrb_RNAi,13,Yes,,
6,6/11/24,Shrb_RNAi,14,Yes,,
6,6/11/24,Shrb_RNAi,15,Yes,,
6,6/11/24,Shrb_RNAi,16,Yes,,
6,6/11/24,Shrb_RNAi,17,Yes,,
6,6/11/24,Shrb_RNAi,18,Yes,,
6,6/11/24,Shrb_RNAi,19,Yes,,
6,6/11/24,Shrb_RNAi,20,Yes,,
6,6/11/24,Shrb_RNAi,21,Yes,,
6,6/11/24,Shrb_RNAi,22,Yes,,
6,6/11/24,Shrb_RNAi,23,Yes,,
6,6/11/24,Shrb_RNAi,24,Yes,,
6,6/11/24,Shrb_RNAi,25,Yes,,
6,6/11/24,Shrb_RNAi,26,Yes,,
7,7/3/24,Shrb_RNAi,1,No,,
7,7/3/24,Shrb_RNAi,2,No,,
7,7/3/24,Shrb_RNAi,3,No,"germarium looks normal, downstream eggs don't look good but follicle epithelium is intact",
7,7/3/24,Shrb_RNAi,4,No,,
7,7/3/24,Shrb_RNAi,5,No,,
7,7/3/24,Shrb_RNAi,6,No,,
7,7/3/24,Shrb_RNAi,7,No,,
7,7/3/24,Shrb_RNAi,8,Yes,,
7,7/3/24,Shrb_RNAi,9,Yes,,
7,7/3/24,Shrb_RNAi,10,Yes,,
7,7/3/24,Shrb_RNAi,11,Yes,,
7,7/3/24,Shrb_RNAi,12,Yes,,
7,7/3/24,Shrb_RNAi,13,Yes,,
7,7/3/24,Shrb_RNAi,14,Yes,,
7,7/3/24,Shrb_RNAi,15,Yes,,
7,7/3/24,Shrb_RNAi,16,Yes,,
7,7/3/24,Shrb_RNAi,17,Yes,,
7,7/3/24,Shrb_RNAi,18,Yes,,
7,7/3/24,Shrb_RNAi,19,Yes,,
7,7/3/24,Shrb_RNAi,20,Yes,,
7,7/3/24,Shrb_RNAi,21,Yes,,
7,7/3/24,Shrb_RNAi,22,Yes,,
7,7/3/24,Shrb_RNAi,23,Yes,,
7,7/3/24,Shrb_RNAi,24,Yes,,
7,7/3/24,Shrb_RNAi,25,Yes,,
7,7/3/24,Shrb_RNAi,26,Yes,,
7,7/3/24,Shrb_RNAi,27,Yes,,
7,7/3/24,Shrb_RNAi,28,Yes,,
7,7/3/24,Shrb_RNAi,29,Yes,,
7,7/3/24,Shrb_RNAi,30,Yes,,
7,7/3/24,Shrb_RNAi,31,Yes,,
7,7/3/24,Shrb_RNAi,32,Yes,,
7,7/3/24,Shrb_RNAi,33,Yes,,
7,7/3/24,Shrb_RNAi,34,Yes,,
7,7/3/24,Shrb_RNAi,35,Yes,,
7,7/3/24,Shrb_RNAi,36,Yes,,
7,7/3/24,Shrb_RNAi,37,Yes,,
7,7/3/24,Shrb_RNAi,38,Yes,,
7,7/3/24,Shrb_RNAi,39,Yes,,
7,7/3/24,Shrb_RNAi,40,Yes,,
7,7/3/24,Shrb_RNAi,41,Yes,,
7,7/3/24,Shrb_RNAi,42,Yes,,
7,7/3/24,Shrb_RNAi,43,Yes,,
7,7/3/24,Shrb_RNAi,44,Yes,,
7,7/3/24,Shrb_RNAi,45,Yes,,
7,7/3/24,Shrb_RNAi,46,Yes,,
7,7/3/24,Shrb_RNAi,47,Yes,,
7,7/3/24,Shrb_RNAi,48,Yes,,
8,7/25/24,Control,1,Yes,,
8,7/25/24,Control,2,Yes,,
8,7/25/24,Control,3,Yes,,
8,7/25/24,Control,4,Yes,,
8,7/25/24,Control,5,Yes,,
8,7/25/24,Control,6,No,,
8,7/25/24,Control,7,No,,
8,7/25/24,Control,8,No,,
8,7/25/24,Control,9,No,,
8,7/25/24,Control,10,No,,
8,7/25/24,Control,11,No,,
8,7/25/24,Control,12,No,,
8,7/25/24,Control,13,No,,
8,7/25/24,Control,14,No,,
8,7/25/24,Control,15,No,,
8,7/25/24,Control,16,No,,
8,7/25/24,Control,17,No,,
8,7/25/24,Control,18,No,,
8,7/25/24,Control,19,No,,
8,7/25/24,Control,20,No,,
8,7/25/24,Control,21,No,,
8,7/25/24,Control,22,No,,
8,7/25/24,Control,23,No,,
8,7/25/24,Control,24,No,,
8,7/25/24,Control,25,No,,
8,7/25/24,Control,26,No,,
8,7/25/24,Control,27,No,,
8,7/25/24,Control,28,No,,
8,7/25/24,Control,29,No,,
8,7/25/24,Control,30,No,,
8,7/25/24,Control,31,No,,
8,7/25/24,Control,32,No,,
8,7/25/24,Control,33,No,,
8,7/25/24,Control,34,No,,
8,7/25/24,Control,35,No,,
8,7/25/24,Control,36,No,,
8,7/25/24,Control,37,No,,
8,7/25/24,Control,38,No,,
8,7/25/24,Control,39,No,,
8,7/25/24,Control,40,No,,
8,7/25/24,Control,41,No,,
8,7/25/24,Control,42,No,,
8,7/25/24,Shrb_RNAi,1,Yes,,
8,7/25/24,Shrb_RNAi,2,Yes,,
8,7/25/24,Shrb_RNAi,3,Yes,,
8,7/25/24,Shrb_RNAi,4,Yes,,
8,7/25/24,Shrb_RNAi,5,Yes,extended stalk like cells,
8,7/25/24,Shrb_RNAi,6,Yes,,
8,7/25/24,Shrb_RNAi,7,Yes,,
8,7/25/24,Shrb_RNAi,8,Yes,overproliferation of cells,
8,7/25/24,Shrb_RNAi,9,Yes,,
8,7/25/24,Shrb_RNAi,10,Yes,,
8,7/25/24,Shrb_RNAi,11,Yes,,