Genotype,Germarium,Labels,Categories,Counts
WT,2,L3,vsg_rings,1
WT,2,L3,vsg_rings,7
WT,2,L4,vsg_rings,5
WT,2,L4,vsg_rings,7
WT,3,L3,vsg_rings,1
WT,3,L3,vsg_rings,0
WT,3,L4,vsg_rings,7
WT,3,L4,vsg_rings,2
WT,4,L3,vsg_rings,0
WT,4,L3,vsg_rings,2
WT,4,L3,vsg_rings,4
WT,4,L4,vsg_rings,4
WT,4,L4,vsg_rings,4
WT,4,L4,vsg_rings,5
WT,5,L3,vsg_rings,1
WT,5,L3,vsg_rings,7
WT,5,L3,vsg_rings,8
WT,5,L4,vsg_rings,6
WT,5,L4,vsg_rings,7
WT,5,L4,vsg_rings,8
WT,6,L3,vsg_rings,2
WT,6,L3,vsg_rings,6
WT,6,L3,vsg_rings,4
WT,6,L4,vsg_rings,5
WT,6,L4,vsg_rings,7
WT,6,L4,vsg_rings,5
WT,7,L3,vsg_rings,4
WT,7,L3,vsg_rings,0
WT,7,L4,vsg_rings,11
WT,7,L4,vsg_rings,5
WT,10,L3,vsg_rings,6
WT,10,L3,vsg_rings,8
WT,10,L4,vsg_rings,10
WT,10,L4,vsg_rings,4
WT,14,L3,vsg_rings,4
WT,14,L3,vsg_rings,3
WT,14,L4,vsg_rings,7
WT,14,L4,vsg_rings,2
ShrbRNAi,23,L3,vsg_rings,55
ShrbRNAi,25,L3,vsg_rings,76
ShrbRNAi,26,L3,vsg_rings,51
ShrbRNAi,29,L3,vsg_rings,55
ShrbRNAi,2030,L3,vsg_rings,56